id,valence,word,trial_num,trial_index,key,rt,date
101,positive,confident,0,4,up,1.042244911,2016_Apr_15_1541
101,negative,conventional,1,24,down,1.591037989,2016_Apr_15_1541
101,positive,brilliant,2,2,up,1.608522892,2016_Apr_15_1541
101,positive,sophisticated,3,17,up,0.690616846,2016_Apr_15_1541
101,positive,proud,4,15,up,0.709938049,2016_Apr_15_1541
101,negative,anxious,5,21,up,1.008529902,2016_Apr_15_1541
101,negative,moody,6,33,up,0.726993084,2016_Apr_15_1541
101,positive,frank,7,10,up,1.276802063,2016_Apr_15_1541
101,negative,stubborn,8,36,up,0.825145006,2016_Apr_15_1541
101,positive,decisive,9,7,up,0.859414101,2016_Apr_15_1541
101,positive,artistic,10,1,down,1.24222517,2016_Apr_15_1541
101,negative,critical,11,25,up,0.825579166,2016_Apr_15_1541
101,negative,cynical,12,26,up,0.826169014,2016_Apr_15_1541
101,negative,insecure,13,30,down,2.858412981,2016_Apr_15_1541
101,positive,moralistic,14,11,up,1.474850893,2016_Apr_15_1541
101,negative,authoritative,15,22,up,0.890775919,2016_Apr_15_1541
101,positive,quick,16,16,up,1.60718298,2016_Apr_15_1541
101,positive,candid,17,3,up,1.45913291,2016_Apr_15_1541
101,negative,clumsy,18,23,down,1.109899998,2016_Apr_15_1541
101,negative,worrying,19,39,up,0.892453909,2016_Apr_15_1541
101,positive,obedient,20,13,up,1.392452955,2016_Apr_15_1541
101,negative,antisocial,21,20,down,1.325103998,2016_Apr_15_1541
101,positive,adventurous,22,0,up,0.907207012,2016_Apr_15_1541
101,positive,enthusiastic,23,9,up,1.591068983,2016_Apr_15_1541
101,positive,outgoing,24,14,up,0.87558794,2016_Apr_15_1541
101,positive,courageous,25,5,up,0.675254822,2016_Apr_15_1541
101,negative,shy,26,35,down,1.077615976,2016_Apr_15_1541
101,negative,emotional,27,27,up,1.091971874,2016_Apr_15_1541
101,positive,daring,28,6,up,1.290825844,2016_Apr_15_1541
101,negative,withdrawn,29,38,down,1.258860826,2016_Apr_15_1541
101,negative,hesitant,30,28,down,1.159436941,2016_Apr_15_1541
101,negative,timid,31,37,down,0.993403912,2016_Apr_15_1541
101,negative,rebellious,32,34,up,0.90849185,2016_Apr_15_1541
101,negative,messy,33,32,down,0.976912022,2016_Apr_15_1541
101,negative,indecisive,34,29,down,3.440862894,2016_Apr_15_1541
101,positive,enterprising,35,8,up,0.907890081,2016_Apr_15_1541
101,positive,neat,36,12,up,0.877694845,2016_Apr_15_1541
101,positive,tidy,37,19,up,1.044276953,2016_Apr_15_1541
101,positive,tender,38,18,down,6.242326021,2016_Apr_15_1541
101,negative,lazy,39,31,down,0.97522378,2016_Apr_15_1541
102,negative,worrying,0,39,up,0.892897129,2016_Apr_15_1606
102,positive,neat,1,12,up,0.910236835,2016_Apr_15_1606
102,negative,hesitant,2,28,down,1.159126997,2016_Apr_15_1606
102,negative,moody,3,33,up,0.976701975,2016_Apr_15_1606
102,negative,conventional,4,24,down,1.507627964,2016_Apr_15_1606
102,positive,enthusiastic,5,9,up,0.791231155,2016_Apr_15_1606
102,positive,tidy,6,19,up,1.51060009,2016_Apr_15_1606
102,negative,timid,7,37,down,0.860238075,2016_Apr_15_1606
102,positive,brilliant,8,2,up,0.925490856,2016_Apr_15_1606
102,negative,stubborn,9,36,up,1.142430067,2016_Apr_15_1606
102,positive,obedient,10,13,up,1.958994865,2016_Apr_15_1606
102,positive,enterprising,11,8,up,2.074401855,2016_Apr_15_1606
102,negative,cynical,12,26,down,1.742294073,2016_Apr_15_1606
102,positive,confident,13,4,down,1.191992998,2016_Apr_15_1606
102,negative,antisocial,14,20,down,0.791553974,2016_Apr_15_1606
102,positive,moralistic,15,11,up,2.125001907,2016_Apr_15_1606
102,positive,artistic,16,1,up,0.692398071,2016_Apr_15_1606
102,positive,frank,17,10,up,1.526755095,2016_Apr_15_1606
102,positive,outgoing,18,14,up,0.575626135,2016_Apr_15_1606
102,negative,authoritative,19,22,up,1.007349014,2016_Apr_15_1606
102,positive,proud,20,15,up,0.926851034,2016_Apr_15_1606
