"ID","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","consent","subject","subj","Q1","rfq1","rfq2","rfq3","rfq4","rfq5","rfq6","rfq7","rfq8","rfq9","rfq10","rfq11","se1","se2","se3","se4","se5","se6","se7","se8","se9","se10","rmq1","rmq2","rmq3","rmq4","rmq5","rmq6","rmq7","rmq8","rmq9","rmq10","rmq11","rmq12","rmq13","rmq14","rmq15","rmq16","rmq17","rmq18","rmq19","rmq20","rmq21","rmq22","rmq23","rmq24","rmq25","rmq26","rmq27","rmq28","rmq29","rmq30","attchk","Q6","age","gender","gender_TEXT","hispanic","race","race_TEXT","relstat","relstat_TEXT","Q12","Q13","Q17","LocationLatitude","LocationLongitude","LocationAccuracy","rmq2r","rmq10r","rmq27r","rmq13r","rmq24r","loc.matrix.1","loc.matrix.2","loc.matrix.3","loc.matrix.4","loc.matrix.5","loc.matrix.6","loc.matrix.7","loc.matrix.8","loc.matrix.9","loc.matrix.10","loc.matrix.11","loc.matrix.12","loc.v","loc.c","ass.matrix.1","ass.matrix.2","ass.matrix.3","ass.matrix.4","ass.matrix.5","ass.matrix.6","ass.matrix.7","ass.matrix.8","ass.matrix.9","ass.matrix.10","ass.matrix.11","ass.matrix.12","ass.v","ass.c","rmpredom","rmpredomave","rmpredom.c","rmpredomave.c","rfq1r","rfq9r","rfq11r","rfq2r","rfq4r","rfq6r","rfq8r","prom.matrix.1","prom.matrix.2","prom.matrix.3","prom.matrix.4","prom.matrix.5","prom.v","prom.c","prev.matrix.1","prev.matrix.2","prev.matrix.3","prev.matrix.4","prev.matrix.5","prev.v","prev.c","rfpredom","rfpredomave","rfpredom.c","rfpredomave.c","se2r","se5r","se6r","se8r","se9r","se.all.1","se.all.2","se.all.3","se.all.4","se.all.5","se.all.6","se.all.7","se.all.8","se.all.9","se.all.10","se.v","se.c","pracword","valence","word","trials_2.thisRepN","trials_2.thisTrialN","trials_2.thisN","trials_2.thisIndex","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_3.keys","key_resp_3.rt","key_resp_4.keys","key_resp_4.rt","response.keys","response.corr","response.rt","date","frameRate","expName","session","participant","trial40","trial40c","rt","logrt","id","valenceE","rtms","rt.z"
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","insecure",NA,NA,NA,NA,0, 0, 0,22,NA,NA,NA,NA,"up",0,0.7764301,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201, 1,-0.475,0.7764301,6.654707,201,-0.5, 776.4301,-0.614005051
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","thrifty",NA,NA,NA,NA,0, 7, 7, 2,NA,NA,NA,NA,"up",0,0.8090930,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201, 8,-0.300,0.8090930,6.695914,201, 0.5, 809.0930,-0.522270754
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","wise",NA,NA,NA,NA,0, 9, 9,19,NA,NA,NA,NA,"up",0,0.9774442,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,10,-0.250,0.9774442,6.884941,201, 0.5, 977.4442,-0.049453244
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","clumsy",NA,NA,NA,NA,0,11,11,23,NA,NA,NA,NA,"up",0,0.8267360,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,12,-0.200,0.8267360,6.717485,201,-0.5, 826.7360,-0.472720122
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","anxious",NA,NA,NA,NA,0,12,12,35,NA,NA,NA,NA,"up",0,0.8430300,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,13,-0.175,0.8430300,6.737003,201,-0.5, 843.0300,-0.426958101
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","enthusiastic",NA,NA,NA,NA,0,13,13,16,NA,NA,NA,NA,"up",0,0.8405669,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,14,-0.150,0.8405669,6.734077,201, 0.5, 840.5669,-0.433875771
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","ambitious",NA,NA,NA,NA,0,14,14,10,NA,NA,NA,NA,"up",0,0.6755259,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,15,-0.125,0.6755259,6.515492,201, 0.5, 675.5259,-0.897396512
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"negative","fearful",NA,NA,NA,NA,0,17,17,24,NA,NA,NA,NA,"up",0,1.5594580,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,18,-0.050,1.5594580,7.352094,201,-0.5,1559.4580, 1.585143846
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","courageous",NA,NA,NA,NA,0,18,18,15,NA,NA,NA,NA,"up",0,1.1751850,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,19,-0.025,1.1751850,7.069181,201, 0.5,1175.1850, 0.505905581
201,"R_OD706cR7iwZ5kXf","Default Response Set","Anonymous",NA,NA,"128.59.230.241",0,"9/30/16 10:48","9/30/16 11:28",1,1,201, 91993,1,2,2,4,2,4,2,4,2,3,4,2,6,5,6,6,3,3,6,4,4,5,5,3,5,5,4,5,5,5,5,5,5,2,3,6,5,5,2,2,5,5,6,2,2,3,5,2,3,5,4,3,3,1,20,2,NA, 0, 2,"",6,"Dating but not living together","how people evaluate how they feel about themselves based on their romantic relationship","nothing. but the mouse stuck to the desk which was somewhat irritating", 1,40.8006,-73.9653,-1,4,2,4,4,4,5,5,5,4,5,4,5,6,4,5,5,4,4.750000, 0.13510101,4,5,5,5,2,5,5,5,5,2,4,3,4.166667,-0.21085859, 0.58333333,4.458333, 0.34595960,-0.037878788,4,3,4,4,4,4,4,4,4,3,4,4,3.8, 0.14848485,4,4,4,4,4,4.0, 0.26060606,-0.2,3.9,-0.11212121, 0.204545455,3,5,5,4,4,6,3,6,6,5,5,6,4,4,5,5.0,-0.12424242,NA,"positive","confident",NA,NA,NA,NA,0,19,19, 7,NA,NA,NA,NA,"up",0,0.9918990,"2016_Sep_30_1104",60.00632,"heterogeneity160929b",1,  201,20, 0.000,0.9918990,6.899621,201, 0.5, 991.8990,-0.008856542
